concave,1,2,convex,4,5,linear,7,8
4,3028,731,3,5606,2302,2,5041,1298.333333
2,2978,731,3,5650,1435,1,5253,1298.333333
3,2839,749.3333333,2,5788,1435,3,5307,2113
2,2658,749.3333333,4,6200,1435,1,5284,2113
4,2545,749.3333333,1,6598,1435,2,5450,4335
1,3777,601.25,2,6851,1435,1,5970,1411.333333
2,3305,601.25,2,6888,3678.5,5,6425,1411.333333
1,2806,601.25,1,7271,3678.5,5,6937,1411.333333
2,2657,601.25,1,4842,3799.5,7,7458,2014.5
2,2552,888.3333333,1,5774,3799.5,6,8005,2014.5
2,2508,888.3333333,1,2118,1168.714286,5,8156,1956
2,2519,888.3333333,1,1979,1168.714286,7,8519,1956
2,2626,584.4,1,1983,1168.714286,2,9005,3823
2,2702,584.4,2,1988,1168.714286,3,9313,3771
4,2745,584.4,4,2136,1168.714286,2,9590,716.5
2,2912,584.4,3,2303,1168.714286,5,9787,716.5
2,3000,584.4,1,2358,1168.714286,3,9969,566.3333333
3,3092,322.8,1,2452,2103.5,3,10561,566.3333333
2,3333,322.8,1,2720,2103.5,1,10565,566.3333333
1,3484,322.8,2,2969,2103.5,2,10442,675.6666667
2,3679,322.8,3,3144,2103.5,1,10416,675.6666667
2,3809,322.8,1,3206,8659,1,3616,675.6666667
2,4004,322.8,1,2777,4301,2,3946,567
3,3970,322.8,1,3050,4301,2,4268,567
4,4083,322.8,1,3123,4171,1,4647,567
3,4089,322.8,1,3095,4171,4,5030,567
2,4239,322.8,2,3162,8237,1,5334,778.3333333
2,4417,722.8,1,3420,7936,1,6012,778.3333333
2,4648,722.8,3,3420,6719,1,7334,778.3333333
5,4806,722.8,2,3446,3127.5,1,7352,2486
5,4981,722.8,3,3413,3127.5,2,7281,1264
5,5186,722.8,3,3392,3117,1,7257,1264
2,5720,790.2,3,3525,3117,1,7037,2482
3,5919,790.2,3,3880,6219,1,6590,2235
