model,drive conversion,low density growth rate,growth curve,suppressed,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females
overlapping-generations fecundity,0.96,6,concave,0.95,0.85,0.1,0,0,0.05,0.1,0,31,118.75,4167.691217
overlapping-generations fecundity,0.86,5.5,concave,1,0.3,0.7,0,0,0,0.05,0.65,124.5714286,154.55,2554.568075
overlapping-generations fecundity,1,2,concave,1,1,0,0,0,0,0,0,nan,64.5,nan
overlapping-generations fecundity,0.99,2,concave,1,1,0,0,0,0,0,0,nan,64.85,nan
overlapping-generations fecundity,0.83,4.5,concave,1,0.1,0.9,0,0,0,0.05,0.85,116.5555556,167.75,2718.217049
overlapping-generations fecundity,0.95,6.5,concave,1,0.8,0.2,0,0,0,0.15,0.05,37,76,3100.560323
overlapping-generations fecundity,0.93,6,concave,1,0.8,0.2,0,0,0,0.15,0.05,40.5,79.75,2631.235995
overlapping-generations fecundity,0.9,1.5,concave,1,1,0,0,0,0,0,0,nan,68.3,nan
overlapping-generations fecundity,0.94,1.5,concave,1,1,0,0,0,0,0,0,nan,66.35,nan
overlapping-generations fecundity,0.94,6,concave,1,0.6,0.4,0,0,0,0.3,0.1,46.5,86.4,2799.992012
overlapping-generations fecundity,0.82,3.5,concave,0.95,0.4,0.55,0,0,0.05,0.05,0.5,171.5,214.95,2379.523922
overlapping-generations fecundity,0.83,4,concave,1,0.45,0.55,0,0,0,0.05,0.5,151.9090909,157.2,2662.002534
overlapping-generations fecundity,0.89,9,concave,1,0.1,0.9,0,0,0,0.15,0.75,187.7777778,231.25,1835.02871
overlapping-generations fecundity,0.95,6,concave,1,0.75,0.25,0,0,0,0.2,0.05,48.8,81.3,2452.231944
overlapping-generations fecundity,0.92,1.5,concave,0.9,0.9,0,0,0,0.1,0,0,27.5,160.55,2196.494308
overlapping-generations fecundity,0.8,3.5,concave,0.95,0.2,0.75,0,0,0.05,0.1,0.65,131.125,211.35,2226.805566
overlapping-generations fecundity,0.91,1.5,concave,0.95,0.9,0.05,0,0,0.05,0.05,0,25,115,3280.613605
overlapping-generations fecundity,0.93,1.5,concave,1,1,0,0,0,0,0,0,nan,66.7,nan
overlapping-generations fecundity,0.84,4,concave,0.9,0.25,0.65,0,0,0.1,0,0.65,132.5333333,252.6,2724.705536
overlapping-generations fecundity,0.94,6.5,concave,1,0.75,0.25,0,0,0,0.2,0.05,48.4,81.3,2941.215376
overlapping-generations fecundity,0.82,4,concave,0.95,0.3,0.65,0,0,0.05,0.1,0.55,214.3571429,258.05,1712.211046
overlapping-generations fecundity,0.94,7,concave,1,0.75,0.25,0,0,0,0.1,0.15,59.2,85.95,2555.830656
overlapping-generations fecundity,0.81,4,concave,1,0.2,0.8,0,0,0,0.15,0.65,177.0625,206.15,1986.389537
overlapping-generations fecundity,0.98,2,concave,1,1,0,0,0,0,0,0,nan,65.65,nan
overlapping-generations fecundity,1,9,concave,1,1,0,0,0,0,0,0,nan,66.95,nan
overlapping-generations fecundity,0.97,2,concave,1,0.9,0.1,0,0,0,0.1,0,36,69.8,938.9616824
overlapping-generations fecundity,0.99,2.5,concave,1,1,0,0,0,0,0,0,nan,65.95,nan
overlapping-generations fecundity,0.95,2,concave,1,1,0,0,0,0,0,0,nan,67.15,nan
overlapping-generations fecundity,0.92,6,concave,1,0.8,0.2,0,0,0,0.05,0.15,59.5,84.6,2921.462186
overlapping-generations fecundity,0.87,6,concave,1,0.4,0.6,0,0,0,0.05,0.55,138.4166667,152.2,1805.415118
overlapping-generations fecundity,0.94,9,concave,1,0.55,0.45,0,0,0,0.15,0.3,91.88888889,109.1,2202.393518
overlapping-generations fecundity,0.98,2.5,concave,1,0.95,0.05,0,0,0,0.05,0,18,66.45,4895.358974
overlapping-generations fecundity,0.89,8.5,concave,0.95,0.3,0.65,0.05,0,0,0.05,0.6,245.2857143,240.1,1527.495477
overlapping-generations fecundity,0.89,1.5,concave,0.95,0.95,0,0,0,0.05,0,0,25,115.9,1949.272727
overlapping-generations fecundity,1,2.5,concave,1,0.95,0.05,0,0,0,0.05,0,29,65.25,3713.607143
overlapping-generations fecundity,0.99,9,concave,1,0.9,0.1,0,0,0,0,0.1,69.5,74.85,2394.740057
overlapping-generations fecundity,0.93,6.5,concave,1,0.65,0.35,0,0,0,0.15,0.2,99.71428571,103.75,2128.565335
overlapping-generations fecundity,0.94,2,concave,1,1,0,0,0,0,0,0,nan,68.3,nan
overlapping-generations fecundity,0.96,2,concave,1,1,0,0,0,0,0,0,nan,67.4,nan
overlapping-generations fecundity,0.84,5,concave,1,0.15,0.85,0,0,0,0,0.85,226.7058824,257.55,1779.027523
overlapping-generations fecundity,0.98,9,concave,1,0.9,0.1,0,0,0,0.05,0.05,44.5,72.25,2672.037409
overlapping-generations fecundity,0.92,6.5,concave,1,0.55,0.45,0,0,0,0,0.45,97.44444444,113.25,2108.032468
overlapping-generations fecundity,0.92,7,concave,1,0.6,0.4,0,0,0,0.1,0.3,121,117.3,1699.154184
overlapping-generations fecundity,0.97,9,concave,1,0.95,0.05,0,0,0,0,0.05,51,75.65,2423.6875
overlapping-generations fecundity,0.88,8.5,concave,1,0.25,0.75,0,0,0,0,0.75,250.4,258.55,1713.130093
overlapping-generations fecundity,0.88,1.5,concave,0.95,0.95,0,0,0,0.05,0,0,44,116.95,3129.428571
overlapping-generations fecundity,0.86,1.5,concave,0.95,0.95,0,0,0,0.05,0,0,37,117.6,2763.175439
overlapping-generations fecundity,0.87,1.5,concave,1,1,0,0,0,0,0,0,nan,71,nan
overlapping-generations fecundity,0.9,6,concave,1,0.65,0.35,0,0,0,0.15,0.2,92.28571429,104.9,2090.068576
overlapping-generations fecundity,0.91,6,concave,1,0.45,0.55,0,0,0,0.1,0.45,110.5454545,126.95,1813.897712
overlapping-generations fecundity,0.85,1.5,concave,0.9,0.8,0.1,0,0,0.1,0.1,0,27.66666667,166.2,2753.801434
overlapping-generations fecundity,0.97,2.5,concave,1,0.95,0.05,0,0,0,0.05,0,47,68.25,3021.093333
overlapping-generations fecundity,0.93,2,concave,0.95,0.95,0,0,0,0.05,0,0,37,115.85,3459.553571
overlapping-generations fecundity,0.9,2,concave,1,1,0,0,0,0,0,0,nan,70.35,nan
overlapping-generations fecundity,0.91,7,concave,1,0.35,0.65,0,0,0,0.25,0.4,66,108.35,2957.277654
overlapping-generations fecundity,0.88,8,concave,1,0.2,0.8,0,0,0,0.05,0.75,245.75,262.15,1876.99393
overlapping-generations fecundity,0.92,2,concave,1,1,0,0,0,0,0,0,nan,70.35,nan
overlapping-generations fecundity,0.85,5,concave,1,0.25,0.75,0,0,0,0.05,0.7,157.3333333,187.45,2867.217738
overlapping-generations fecundity,0.91,6.5,concave,1,0.65,0.35,0,0,0,0.05,0.3,133.4285714,117.3,1985.374244
overlapping-generations fecundity,0.96,2.5,concave,0.95,0.95,0,0,0,0.05,0,0,nan,114.9,nan
overlapping-generations fecundity,0.84,1.5,concave,1,1,0,0,0,0,0,0,nan,72.5,nan
overlapping-generations fecundity,0.85,5.5,concave,1,0.15,0.85,0,0,0,0.15,0.7,178.6470588,217.05,2435.319021
overlapping-generations fecundity,0.89,2,concave,1,1,0,0,0,0,0,0,nan,71.1,nan
overlapping-generations fecundity,0.83,1.5,concave,1,1,0,0,0,0,0,0,nan,72.35,nan
overlapping-generations fecundity,0.93,7,concave,1,0.6,0.4,0,0,0,0.25,0.15,57.375,92.05,3514.297832
overlapping-generations fecundity,0.93,9,concave,0.95,0.45,0.5,0,0,0.05,0.1,0.4,85.81818182,157.75,2531.427961
overlapping-generations fecundity,0.91,2,concave,1,1,0,0,0,0,0,0,nan,70.45,nan
overlapping-generations fecundity,0.93,2.5,concave,1,0.9,0.1,0,0,0,0.05,0.05,73,76.05,2558.712581
overlapping-generations fecundity,0.96,9,concave,1,0.65,0.35,0,0,0,0.15,0.2,63.28571429,93.05,2689.807937
overlapping-generations fecundity,0.87,8.5,concave,1,0.15,0.85,0,0,0,0,0.85,268.1176471,292.1,1682.539144
overlapping-generations fecundity,0.82,1.5,concave,0.9,0.9,0,0,0,0.1,0,0,32,166.3,4122.554748
overlapping-generations fecundity,0.9,6.5,concave,0.95,0.3,0.65,0,0,0.05,0.3,0.35,83.85714286,168.8,2275.541106
overlapping-generations fecundity,0.95,2.5,concave,0.95,0.9,0.05,0,0,0.05,0.05,0,23,115.25,3278.257758
overlapping-generations fecundity,1,9.5,concave,1,0.9,0.1,0,0,0,0,0.1,57,71.95,2814.038788
overlapping-generations fecundity,0.88,9,concave,1,0.15,0.85,0,0,0,0.1,0.75,238.1764706,270.6,1606.760287
