drive conversion,somatic fitness,germline resistance,embryo resistance,eliminated,genetic load,efficiency decline coefficient,zero frequency relative increase rate,maximum drive frequency,linear regression loss,suppressed without chasing rate,suppressed with chasing rate,long term chasing rate,equilibrium rate,loss drive rate,short term chasing rate,intermediate chasing rate,duration of chasing,suppressed time,average fertile females,suppressed rate,chasing rate
0.55,0.7,0,0.3,0,0.470125825,0.627111136,0.234743583,0.374325331,0.002812154,0,0,0.95,0,0.05,0,0,329.2631579,,9432.731053,0,0.95
0.55,0.8,0,0.7,0,0.314354887,0.931045446,0.183673335,0.197276444,0.004774664,0,0,0,0,1,0,0,,,,0,0
0.5,0.75,0,0.3,0,0.421908938,0.650959043,0.225262647,0.346047343,0.002603593,0,0,0.25,0,0.75,0,0,333.4,,11097.62848,0,0.25
0.5,0.7,0,0.3,0,0.365791875,0.703681666,0.205664305,0.292268955,0.003321146,0,0,0,0,1,0,0,,,,0,0
0.65,0.55,0,0,0,0.8204563,0.338820769,0.28657317,0.84579576,0.001390008,0,0,1,0,0,0,0,331.6,,1853.296861,0,1
0.55,0.75,0,0.4,0,0.44385345,0.672838621,0.230388473,0.342412676,0.002646763,0,0,0.65,0,0.35,0,0,332.4615385,,9847.100468,0,0.65
0.5,0.65,0,0.3,0,0.284598838,0.859797455,0.202521599,0.235545706,0.003064279,0,0,0,0,1,0,0,,,,0,0
0.55,0.8,0,0.5,0,0.430567762,0.694484002,0.219614199,0.316226434,0.004050139,0,0,0.2,0,0.8,0,0,334.75,,10206.80037,0,0.2
0.5,0.75,0,0.2,0,0.492676275,0.572358201,0.253467655,0.442847949,0.002562782,0,0,1,0,0,0,0,334.6,,9085.518862,0,1
0.55,0.8,0,0.1,0,0.6349323,0.530505165,0.343765255,0.647996056,0.002025631,0,0,1,0,0,0,0,338.55,,4703.180004,0,1
0.55,0.75,0,0.3,0,0.514959675,0.601819007,0.256619349,0.426406188,0.002520506,0,0,1,0,0,0,0,336.1,,8138.890883,0,1
0.55,0.8,0,0.3,0,0.541290425,0.616609829,0.283373376,0.459566752,0.002203275,0,0,1,0,0,0,0,336.85,,6919.335272,0,1
0.55,0.85,0,0.7,0,0.35529225,0.828028953,0.196033966,0.236747719,0.005012039,0,0,0,0,1,0,0,,,,0,0
0.55,0.5,0,0,0,0.680580987,0.234321557,0.168517184,0.719170639,0.003227243,0,0,1,0,0,0,0,321.5,,5152.439686,0,1
0.55,0.85,0,0.3,0,0.582562575,0.629356112,0.305851218,0.485974812,0.002045531,0,0,1,0,0,0,0,338.9,,6120.577281,0,1
0.55,0.55,0,0,0,0.706094188,0.2759258,0.205330316,0.744150478,0.001938332,0,0,1,0,0,0,0,325.85,,4472.961588,0,1
0.55,0.8,0,0,0,0.674617187,0.507683473,0.380025585,0.748548269,0.001292067,0,0,1,0,0,0,0,338.5,,3714.654548,0,1
